名稱,淡水河系,鳳山溪,頭前溪
RPI≦2.0,231.5,55.3,50.7
2.0<RPI≦3.0,31.5,2.4,5.9
3.1≦RPI≦6.0,48.7,5.3,1.4
RPI>6.0,11.7,0,0
