RPI,TamSui,FengShan,TouQian,HouLong,DaAn,DaJia,WuXi
RPI<=2.0,231.5,38.9,55.3,50.7,95.8,140.2,102.3
2.0<RPI<=3.0,31.5,4.1,2.4,5.9,5.4,0,10.4
3.1<RPI<=6.0,48.7,2.4,5.3,1.4,0,0,4.1
RPI>6.0,11.7,0,0,0,0,0,0
