RPI,2014,2015,2016,2017
RPI<=2.0,231.9,226.2,242.2,231.5
2.0<RPI<=3.0,24.2,21.7,23.4,31.5
3.1<RPI<=6.0,42.6,53.5,48.5,48.7
RPI>6.0,17.6,22,9.3,11.7
